Total base items: 468
ID: asa | TR: Asa sınıf | EN: Physical status
ID: npo | TR: Açlık | EN: Preoperative Fasting Guidelines (NPO)
ID: rsi | TR: Rsi | EN: Rapid Sequence Induction (RSI)
ID: difficult_airway | TR: Zor havayolu | EN: Difficult airway
ID: failed_intubation | TR: Başarısız entübasyon | EN: Mask ventilation possible
ID: cico | TR: Cico | EN: Ventile edemiyorum
ID: desaturation | TR: Satürasyon düş | EN: Falling spo2
ID: high_pressure | TR: Yüksek havayolu | EN: Peak airway
ID: bronchospasm | TR: Bronkospazm | EN: Wheezing
ID: laryngospasm | TR: Laringospazm | EN: Laryngospasm
ID: hypotension | TR: Hipotansiyon | EN: Tansiyon düştü
ID: anaphylaxis | TR: Anafilaksi | EN: Allergy
ID: malignant_hyperthermia | TR: Malign hipertermi | EN: Malignant hyperthermia
ID: last | TR: Last | EN: Lokal anestezik
ID: cardiac_arrest | TR: Kardiyak arrest | EN: Cardiac arrest
ID: bradycardia | TR: Bradikardi | EN: Nabız düşük
ID: tachycardia | TR: Taşikardi | EN: Nabız yüksek
ID: aspiration | TR: Aspirasyon | EN: Akciğere kaç
ID: massive_bleeding | TR: Masif kanama | EN: Kanama
ID: rotem | TR: Rotem | EN: Tromboelastometri
ID: warfarin | TR: Warfarin | EN: Epidural
ID: clopidogrel | TR: Klopidogrel | EN: Plavix
ID: epidural_hematoma | TR: Epidural hematom | EN: Motor defisit
ID: ponv | TR: Ponv | EN: Vomiting
ID: opioid_respiratory | TR: Solunum depresyonu | EN: Naloxone
ID: sugammadex | TR: Sugammadeks | EN: Bridion
ID: la_max_dose | TR: Maksimum doz | EN: Lokal anestezik limit
ID: dantrolene_vials | TR: Kaç flakon | EN: Dantrolene vials
ID: lipid | TR: Lipid | EN: Intralipid
ID: ards | TR: Koruyucu ventilasyon | EN: Ards
ID: sepsis | TR: Sepsis | EN: Septic shock
ID: hyperkalemia | TR: Hiperkalemi | EN: Potasyum
ID: pediatric_tube | TR: Pediatrik tüp | EN: Pediatric tube
ID: abl | TR: Izin verilebilir kan | EN: Abl
ID: maintenance_fluid | TR: Maintenance fluid | EN: Maintenance fluid
ID: perioperative_hypertension | TR: Perioperatif hipertansiyon | EN: Kan basıncı yüksek
ID: hypertension_postponement | TR: Ameliyat ertelenmeli mi | EN: Tansiyon yüksek ertele
ID: diabetes_glucose | TR: Diyabetik | EN: Diyabet
ID: hypoglycemia | TR: Hipoglisemi | EN: Şeker düştü
ID: sglt2_inhibitors | TR: Sglt2 | EN: Ketoacidosis
ID: pacemaker_prep | TR: Pacemaker | EN: Cihaz kontrolü
ID: electrocautery_interference | TR: Koter | EN: Girişim
ID: preeclampsia_anesthesia | TR: Preeklampsi | EN: Pregnancy tansiyonu
ID: eclampsia_seizure | TR: Eklampsi nöbeti | EN: Nöbet
ID: postpartum_hemorrhage | TR: Postpartum hemoraji | EN: Uterotonik
ID: maternal_arrest | TR: Gebede arrest | EN: Perimortem sezaryen
ID: pediatric_bradycardia | TR: Pediatrik bradikardi | EN: Vagal bradikardi
ID: pediatric_uri | TR: Üsye | EN: Runny nose child
ID: pediatric_laryngospasm | TR: Pediatrik laringospazm | EN: Pediatric laryngospasm
ID: preterm_apnea | TR: Prematüre | EN: Postkonseptüel
ID: olv_hypoxemia | TR: Tek akciğer | EN: Torasik
ID: laparoscopy_hypercapnia | TR: Laparoskopide etco2 | EN: Etco2 yükseldi
ID: co2_embolism | TR: Co2 embolisi | EN: Karbondioksit emboli
ID: tension_pneumothorax | TR: Tansiyon pnömotoraks | EN: Iğne dekompresyon
ID: postoperative_delirium | TR: Postoperatif deliryum | EN: Pacu delirium
ID: delayed_emergence | TR: Gecikmiş uyanma | EN: Not waking
ID: postoperative_shivering | TR: Postoperatif titreme | EN: Meperidin
ID: perioperative_hypothermia | TR: Perioperatif hipotermi | EN: Hypothermia perioperative
ID: myocardial_ischemia | TR: Miyokard iskemisi | EN: St depresyonu
ID: pulmonary_hypertension_crisis | TR: Pulmoner hipertansiyon krizi | EN: Sağ ventrikül yetmezliği
ID: aortic_stenosis | TR: Aort darlığı | EN: As anestezi
ID: mitral_stenosis | TR: Mitral darlığı | EN: Ms anestezi
ID: turp_syndrome | TR: Turp sendromu | EN: Turp hiponatremi
ID: hyponatremia | TR: Hiponatremi | EN: Hipertonik salin
ID: equipment_failure | TR: Ekipman arızası | EN: Equipment failure
ID: osas_anesthesia | TR: Osas hastasında | EN: Sleep apnea
ID: osas_ambulatory | TR: Osas günübirlik | EN: Ambulatory osa
ID: obese_induction | TR: Obez hastada indüksiyon | EN: Obese airway
ID: bariatric_anesthesia | TR: Bariatrik cerrahi | EN: Bariatric anesthesia
ID: ambulatory_discharge | TR: Günübirlik taburculuk | EN: Aldrete taburcu
ID: chronic_opioid_pain | TR: Kronik opioid | EN: Opioid tolerans
ID: alcohol_benzodiazepine_dep | TR: Alkol bağımlılığı | EN: Benzodiazepine withdrawal
ID: renal_failure_anesthesia | TR: Böbrek yetmezliği | EN: Renal failure
ID: dialysis_timing | TR: Diyaliz hastası | EN: Dialysis timing
ID: liver_failure_anesthesia | TR: Karaciğer yetmezliği | EN: Liver failure
ID: cirrhosis_regional | TR: Sirozda rejyonal | EN: Cirrhosis spinal
ID: steroid_stress_dose | TR: Kronik steroid | EN: Adrenal supresyon
ID: adrenal_crisis | TR: Adrenal kriz | EN: Akut adrenal
ID: hyperthyroidism_anesthesia | TR: Hipertiroidi | EN: Thyrotoxicosis
ID: thyroid_storm | TR: Tiroid fırtınası | EN: Fırtınası
ID: hypothyroidism_postponement | TR: Hipotiroidi | EN: Myxedema
ID: pheochromocytoma_anesthesia | TR: Feokromositoma | EN: Kriz feo
ID: raised_icp_anesthesia | TR: Kafa içi basıncı | EN: Serebral perfüzyon
ID: tbi_anesthesia | TR: Travmatik beyin | EN: Beyin hasarı
ID: prone_position_anesthesia | TR: Prone pozisyon | EN: Yüz üstü
ID: beach_chair_map | TR: Oturur pozisyon | EN: Hydrostatic correction
ID: lithotomy_complications | TR: Litotomi pozisyon | EN: Litotomi komplikasyon
ID: burn_fluid_parkland | TR: Yanık hastasında sıvı | EN: Parkland formula
ID: burn_succinylcholine | TR: Yanıkta süksinilkolin | EN: Extrajunctional
ID: trauma_induction | TR: Travma hastasında indüksiyon | EN: Cervical spine injury
ID: shock_index_interpretation | TR: Şok indeksi | EN: Şok index
ID: preop_ace_arb_morning | TR: Ace inhibitörü | EN: Antihipertansif sabah
ID: preop_beta_blockers | TR: Beta bloker perioperatif | EN: Beta bloker kullanan
ID: preop_antidepressants | TR: Antidepresan kullanan | EN: Antidepressant morning
ID: preop_herbal_supplements | TR: Bitkisel ürün | EN: Ginseng
ID: myasthenia_gravis_anesthesia | TR: Myastenia | EN: Myastenik kriz
ID: myasthenic_vs_cholinergic_crisis | TR: Kolinerjik kriz | EN: Kolinerjik kriz
ID: muscular_dystrophy_anesthesia | TR: Musküler distrofi | EN: Kas hastalığı
ID: parkinsons_anesthesia | TR: Parkinson | EN: Dopamin agonisti
ID: epilepsy_anesthesia | TR: Epilepsi | EN: Antiepileptik
ID: dementia_delirium_anesthesia | TR: Demans | EN: Deliryum riski
ID: non_obstetric_pregnancy_surgery | TR: Gebede non obstetrik | EN: Pregnant surgery
ID: neonatal_anesthesia_risks | TR: Yenidoğan | EN: Neonate
ID: difficult_extubation_plan | TR: Zor ekstübasyon | EN: Airway exchange catheter
ID: post_extubation_stridor | TR: Upper airway obstruction | EN: Upper airway obstruction
ID: tracheostomy_emergency | TR: Trakeostomi | EN: Dislodged tracheostomy
ID: laryngectomy_stoma_management | TR: Larenjektomi | EN: Neck breather
ID: airway_fire_response | TR: Hava yolu yangını | EN: Airway fire
ID: mri_anesthesia_safety | TR: Mri anestezi | EN: Mri anesthesia
ID: ect_anesthesia_management | TR: Ekt | EN: Electroconvulsive therapy
ID: oculocardiac_reflex_emergency | TR: Okülokardiyak | EN: Eye bradycardia
ID: post_tonsillectomy_hemorrhage | TR: Tonsillectomy bleeding | EN: Tonsillectomy bleeding
